종목명,시작 연도,완료 연도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
승강기,1975,2014,전체,140064,120910,42790,35.4,95777,91626,73402,80.1,73821
승강기,2015,2015,전체,16488,14934,4925,33,6967,6731,5218,77.5,5218
승강기,2015,2015,여,424,375,147,39.2,220,211,169,80.1,169
승강기,2016,2016,전체,16655,14910,4787,32.1,6645,6392,4884,76.4,4884
승강기,2016,2016,여,483,409,151,36.9,188,184,153,83.2,153
승강기,2017,2017,전체,14845,13372,6228,46.6,8192,7868,6154,78.2,6154
승강기,2017,2017,여,410,366,200,54.6,283,276,225,81.5,225
승강기,2018,2018,전체,15348,13698,6671,48.7,8740,8361,6241,74.6,6241
승강기,2018,2018,여,403,342,184,53.8,224,212,161,75.9,161
승강기,2019,2019,전체,17390,15057,6820,45.3,8884,8471,6487,76.6,6487
승강기,2019,2019,여,659,556,269,48.4,292,276,221,80.1,221
철도분야,1975,2019,전체,9333,7805,2998,38.4,3469,3298,2588,78.5,4495
철도분야,1975,2014,전체,9208,7706,2983,38.7,3455,3285,2576,78.4,4483
철도분야,2015,2015,전체,20,15,1,6.7,1,1,0,0,0
철도분야,2015,2015,여,0,0,0,0,0,0,0,0,0
철도분야,2016,2016,전체,26,21,5,23.8,4,4,4,100,4
철도분야,2016,2016,여,0,0,0,0,0,0,0,0,0
철도분야,2017,2017,전체,23,17,4,23.5,3,2,2,100,2
철도분야,2017,2017,여,0,0,0,0,0,0,0,0,0
철도분야,2018,2018,전체,15,10,2,20,3,3,3,100,3
철도분야,2018,2018,여,0,0,0,0,0,0,0,0,0
철도분야,2019,2019,전체,41,36,3,8.3,3,3,3,100,3
철도분야,2019,2019,여,3,3,0,0,0,0,0,0,0
철도차량정비,1975,2019,전체,220,178,18,10.1,18,17,14,82.4,4495
철도차량정비,1975,2014,전체,95,79,3,3.8,4,4,2,50,4483
철도차량정비,2015,2015,전체,20,15,1,6.7,1,1,0,0,0
철도차량정비,2015,2015,여,0,0,0,0,0,0,0,0,0
철도차량정비,2016,2016,전체,26,21,5,23.8,4,4,4,100,4
철도차량정비,2016,2016,여,0,0,0,0,0,0,0,0,0
철도차량정비,2017,2017,전체,23,17,4,23.5,3,2,2,100,2
