종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
건설안전,2017,여자,22,18,2,11.1,6,5,1,20,1
건설안전,2018,전체,1892,1552,168,10.8,240,239,166,69.5,166
건설안전,2018,여자,33,28,2,7.1,6,6,4,66.7,4
건설안전,2019,전체,2395,2060,228,11.1,320,318,213,67,213
건설안전,2019,여자,53,41,3,7.3,3,3,3,100,3
건설안전,2020,전체,2724,2243,118,5.3,224,218,139,63.8,139
건설안전,2020,여자,61,47,3,6.4,4,4,2,50,2
소방,전체,전체,33070,28346,900,3.2,2088,2085,878,42.1,1060
소방,2015(누적),전체,24417,20789,677,3.3,1615,1613,668,41.4,850
소방,2016,전체,1303,1136,53,4.7,100,100,46,46,46
소방,2016,여자,123,116,9,7.8,19,19,8,42.1,8
소방,2017,전체,1550,1335,32,2.4,75,75,31,41.3,31
소방,2017,여자,169,157,9,5.7,17,17,4,23.5,4
소방,2018,전체,1812,1598,46,2.9,111,111,49,44.1,49
소방,2018,여자,162,152,4,2.6,20,20,9,45,9
소방,2019,전체,2004,1799,44,2.4,89,89,39,43.8,39
소방,2019,여자,173,163,9,5.5,15,15,6,40,6
소방,2020,전체,1984,1689,48,2.8,98,97,45,46.4,45
소방,2020,여자,172,148,10,6.8,21,20,12,60,12
소방설비,전체,전체,5062,3795,196,5.2,328,327,182,55.7,0
소방설비,2015(누적),전체,5062,3795,196,5.2,328,327,182,55.7,0
산업위생관리,전체,전체,4065,2902,401,13.8,697,694,382,55,382
산업위생관리,2015(누적),전체,3116,2159,314,14.5,494,493,311,63.1,311
산업위생관리,2016,전체,171,132,16,12.1,24,23,8,34.8,8
산업위생관리,2016,여자,35,24,2,8.3,6,5,1,20,1
산업위생관리,2017,전체,195,154,6,3.9,27,26,12,46.2,12
산업위생관리,2017,여자,36,26,0,0,4,3,2,66.7,2
산업위생관리,2018,전체,203,159,40,25.2,59,59,24,40.7,24
산업위생관리,2018,여자,43,31,6,19.4,7,7,4,57.1,4
산업위생관리,2019,전체,201,163,13,8,46,46,10,21.7,10
