종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
수산양식,2016,여자,357,302,122,40.4,240,200,61,30.5,61
수산양식,2017,전체,908,755,260,34.4,501,404,176,43.6,176
수산양식,2017,여자,381,333,123,36.9,233,189,79,41.8,79
수산양식,2018,전체,1018,838,405,48.3,603,496,195,39.3,195
수산양식,2018,여자,451,374,200,53.5,308,258,109,42.2,109
수산양식,2019,전체,998,813,366,45,765,634,212,33.4,212
수산양식,2019,여자,420,355,174,49,351,296,97,32.8,97
수산양식,2020,전체,880,723,361,49.9,799,632,198,31.3,198
수산양식,2020,여자,409,337,170,50.4,398,316,97,30.7,97
어병,전체,전체,1623,1407,645,45.8,839,798,461,57.8,0
어병,2015(누적),전체,1623,1407,645,45.8,839,798,461,57.8,0
어로,전체,전체,986,814,314,38.6,456,386,118,30.6,0
어로,2015(누적),전체,986,814,314,38.6,456,386,118,30.6,0
어업생산관리,전체,전체,776,628,296,47.1,367,323,119,36.8,388
어업생산관리,2015(누적),전체,356,282,104,36.9,122,102,37,36.3,306
어업생산관리,2016,전체,104,82,37,45.1,43,37,0,0,0
어업생산관리,2016,여자,44,32,20,62.5,26,24,0,0,0
어업생산관리,2017,전체,123,106,82,77.4,96,90,58,64.4,58
어업생산관리,2017,여자,51,46,42,91.3,49,47,30,63.8,30
어업생산관리,2018,전체,82,68,27,39.7,40,38,2,5.3,2
어업생산관리,2018,여자,27,22,8,36.4,17,16,2,12.5,2
어업생산관리,2019,전체,65,54,27,50,40,36,9,25,9
어업생산관리,2019,여자,30,24,14,58.3,17,17,5,29.4,5
어업생산관리,2020,전체,46,36,19,52.8,26,20,13,65,13
어업생산관리,2020,여자,12,11,6,54.5,9,8,5,62.5,5
안전관리분야,전체,전체,2390557,1687312,682781,40.5,1328107,1050622,365936,34.8,354665
안전관리분야,2015(누적),전체,1795496,1256058,488122,38.9,988474,763674,238815,31.3,227544
안전관리분야,2016,전체,96677,68527,29426,42.9,49979,42025,15990,38,15990
안전관리분야,2016,여자,10014,7544,3404,45.1,5440,4722,1814,38.4,1814
안전관리분야,2017,전체,108857,78225,30193,38.6,58138,49428,22784,46.1,22784
안전관리분야,2017,여자,11644,8803,3735,42.4,6931,5975,2616,43.8,2616
안전관리분야,2018,전체,120573,87487,33097,37.8,56419,48014,22717,47.3,22717
안전관리분야,2018,여자,13061,9803,4116,42,7003,6039,2605,43.1,2605
안전관리분야,2019,전체,142602,103283,50277,48.7,78824,67906,29971,44.1,29956
안전관리분야,2019,여자,15591,11667,5743,49.2,9275,8059,3480,43.2,3480
안전관리분야,2020,전체,126352,93732,51666,55.1,96273,79575,35659,44.8,35674
안전관리분야,2020,여자,15903,11949,6785,56.8,11930,9905,4727,47.7,4727
산업안전,전체,전체,614462,435636,156495,35.9,267571,225488,91783,40.7,98035
산업안전,2015(누적),전체,417273,293189,89205,30.4,163313,134863,44826,33.2,51078
산업안전,2016,전체,32528,23322,9780,41.9,13850,12135,6882,56.7,6882
산업안전,2016,여자,3376,2601,1159,44.6,1537,1375,715,52,714
산업안전,2017,전체,34958,25088,11138,44.4,18378,16019,7886,49.2,7886
산업안전,2017,여자,3644,2756,1313,47.6,2106,1878,872,46.4,872
산업안전,2018,전체,37877,27018,11641,43.1,18285,15755,7600,48.2,7600
산업안전,2018,여자,3901,2901,1369,47.2,2190,1926,891,46.3,891
산업안전,2019,전체,45831,33287,15076,45.3,23710,20704,9765,47.2,9765
산업안전,2019,여자,5031,3810,1849,48.5,2736,2420,1111,45.9,1111
산업안전,2020,전체,45995,33732,19655,58.3,30035,26012,14824,57,14824
산업안전,2020,여자,5886,4423,2779,62.8,4066,3536,1986,56.2,1986
건설안전,전체,전체,385694,259972,102329,39.4,181983,142600,60979,42.8,62712
건설안전,2015(누적),전체,307931,205684,77546,37.7,143776,109827,42665,38.8,44398
