open API,부서,파일형식,조회수,활용신청,활용률,수정일
과정평가형일학습병행 출제 관련 정보 서비스,일학습과정개발센터,XML/ JSON,770,7,0.91%,2020-09-01
과정평가형일학습병행 모니터링 일정 정보 서비스,일학습과정개발센터,XML/ JSON,797,6,0.75%,2020-09-01
과정평가형일학습병행 외부평가 채점결과 연계이력 서비스,일학습과정개발센터,XML/ JSON,765,5,0.65%,2020-09-01
우수숙련기술인력 및 작품제품정보,,XML,1041,22,2.11%,2017-10-23
지사 정보,,XML,806,13,1.61%,2020-09-29
장애유형별 요청사항 정보,,XML,743,5,0.67%,2020-09-29
법령 변천 이력 정보,,XML,771,5,0.65%,2020-09-29
국가자격 기능사보 전환 매핑 정보,,XML,816,4,0.49%,2020-09-29
블라인드 채용 기업 ,,XML/ JSON,2270,9,0.40%,2021-03-09
숙련기술인 통계 조회 서비스,,XML/ JSON,725,2,0.28%,2020-12-09
숙련기술인 정보 조회 서비스,,XML/ JSON,692,1,0.14%,2020-12-09
