파일데이터,부서,파일형식,조회수,다운로드,다운로드 비율,수정일
직종개편 공고안, ,HWP,809,309,38.20%,2020-06-10
숙련기술진흥사업정보, ,CSV/ JSON + XML,1216,280,23.03%,2021-07-13
훈련과정 ZIP 데이터목록, ,CSV/ JSON + XML,30,3,10.00%,2021-07-07
산업별 맞춤형 고교등 필기면제검정, ,CSV/ JSON + XML,54,4,7.41%,2021-06-24
