종목명,시작 연도,완료 연도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
위험물,2015,2015,전체,3528,3113,937,30.1,2158,1926,564,29.3,564
위험물,2015,2015,여,113,106,34,32.1,67,66,20,30.3,20
위험물,2016,2016,전체,5377,4667,2405,51.5,3643,3269,1748,53.5,1748
위험물,2016,2016,여,177,156,87,55.8,122,116,74,63.8,74
위험물,2017,2017,전체,5805,4896,1741,35.6,3495,3182,1071,33.7,1071
위험물,2017,2017,여,185,150,64,42.7,107,98,34,34.7,34
위험물,2018,2018,전체,5166,4575,2321,50.7,3600,3253,1452,44.6,1452
위험물,2018,2018,여,197,167,87,52.1,131,118,52,44.1,52
위험물,2019,2019,전체,6217,5258,3211,61.1,5761,5321,1445,27.2,1445
위험물,2019,2019,여,257,209,126,60.3,220,204,59,28.9,59
전기분야,1975,2019,전체,65415,57200,16809,29.4,34969,33985,7229,21.3,7229
전기분야,1975,2014,전체,34728,31129,10107,32.5,18918,18315,5393,29.4,5393
전기분야,2015,2015,전체,7533,6677,1634,24.5,4410,4297,507,11.8,507
전기분야,2015,2015,여,58,49,15,30.6,44,41,8,19.5,8
전기분야,2016,2016,전체,7193,6105,1285,21,3467,3381,565,16.7,565
전기분야,2016,2016,여,53,47,14,29.8,30,29,7,24.1,7
전기분야,2017,2017,전체,6713,5555,1318,23.7,3108,3041,480,15.8,480
전기분야,2017,2017,여,45,39,13,33.3,26,26,7,26.9,7
전기분야,2018,2018,전체,4832,4146,1191,28.7,2516,2463,155,6.3,155
전기분야,2018,2018,여,30,26,9,34.6,10,10,1,10,1
전기분야,2019,2019,전체,4416,3588,1274,35.5,2550,2488,129,5.2,129
전기분야,2019,2019,여,37,29,17,58.6,19,19,1,5.3,1
전기,1975,2019,전체,62259,54384,15661,28.8,32990,32100,6443,20.1,7229
전기,1975,2014,전체,31572,28313,8959,31.6,16939,16430,4607,28,5393
