제작연도,카테고리,프로그램명,총편수,회차제목,내용,시간(러닝타임),장르구분,등록일
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_41,"드림러너 양유진, 당신은 청춘입니까",60min,토크-쇼,2016-05-31
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_42,"안병익 대표 창업의 꿈, 네트워크가 답이다!",60min,토크-쇼,2016-06-01
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_43,"안병익 대표, 성공하는 스타트업의 비밀",50min,토크-쇼,2016-06-02
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_44,"시정희 대표 (CM아카데미) 알파고 혁명, 컴퓨터처럼 생각하라",50min,토크-쇼,2016-06-03
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_45,"시정희 대표 (CM아카데미) 교육의 미래, 에듀텍의 시대!",50min,토크-쇼,2016-06-07
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_46,"현승헌 대표 (건축사무소 선랩), 건축설계사가 말하는 건축학개론",50min,토크-쇼,2016-06-08
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_47,"현승헌 대표 (건축사무소 선랩) 청년 1인가구 변신, 청춘동 프로젝트",50min,토크-쇼,2016-06-09
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_48,"심명성 대표 (버드케인) 직업특강, PR이란 무엇인가",50min,토크-쇼,2016-06-10
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_49,"심명성 대표 (버드케인) 직업특강, 나의 본질을 마케팅하라!",50min,토크-쇼,2016-06-13
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_50,"박진우 사회복지학박사 (경찰청 경찰교육센터 외래교수), 아프니까 ‘사람’이다",50min,토크-쇼,2016-06-14
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_51,"주민관 소통트레이너, 내 안의 ‘나’와 먼저 소통하라",50min,토크-쇼,2016-06-15
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_52,"주민관 소통트레이너, 현혹되지 말고 도전하라!",50min,토크-쇼,2016-06-16
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_53,"이민호 대표 (제이라이프스쿨) 소통시대, 통하는 영어공부법",50min,토크-쇼,2016-06-17
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_54,"이민호 대표 (제이라이프스쿨) 행동, 행운, 행복 삼행일치의 비밀",50min,토크-쇼,2016-06-20
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_55,이민영 기업교육 전문가 취업멘토 특강! 스펙보다 자세를 갖춰라,50min,토크-쇼,2016-06-21
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_56,이민영 기업교육 전문가 ‘나’ 매니지먼트 설명서,50min,토크-쇼,2016-06-22
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_57,"김건희 연극배우 (극단 ‘배우는 사람’ 대표), 내일을 살 수 있는 용기",50min,토크-쇼,2016-06-23
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_58,"김건희 연극배우 (극단 ‘배우는 사람’ 대표), 꿈이 나를 따라 오게 하라",50min,토크-쇼,2016-06-24
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_59,"박준수 CF감독, 영화의 시작",50min,토크-쇼,2016-06-27
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_60,"박준수 CF감독, 광고는 인생처럼 영상은 장인처럼",50min,토크-쇼,2016-06-28
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_61,"조정래 영화감독, 영화 ‘귀향’ 14년 간의 여정",50min,토크-쇼,2016-06-29
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_62,"조정래 영화감독, 소녀들의 귀향 지금부터 시작이다",50min,토크-쇼,2016-06-30
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_63,"이성완 (실내동물 키즈파크 ‘주렁주렁’ 전무), 패러다임을 알면 길이 보인다",50min,토크-쇼,2016-07-01
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_64,"이성완 (실내동물 키즈파크 ‘주렁주렁’ 전무), 소통이 스펙이다",50min,토크-쇼,2016-07-04
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_65,"김도균 교수 (경희대 체육대학원), 어제의 나를 이기는 법",50min,토크-쇼,2016-07-05
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_66,"김도균 교수 (경희대 체육대학원), 스포츠 마케팅이란",50min,토크-쇼,2016-07-06
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_67,"정효정 (여행작가), 당신에게 실크로드 1편",50min,토크-쇼,2016-07-07
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_68,"정효정 (여행작가), 당신에게 실크로드 2편",50min,토크-쇼,2016-07-08
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_69,"정진호 (‘비주얼씽킹’ 전문가 / J비주얼스쿨 대표), 당신의 생각을 시각화하라",50min,토크-쇼,2016-07-11
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_70,"백현주 기자 (前 Y-star 취재기자 / TV리포트 부국장), 시원하게 뚫리는 소통화법",50min,토크-쇼,2016-07-12
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_71,"백현주 기자 (前 Y-star 취재기자 / TV리포트 부국장), 나를 돋보이게 하는 인터뷰 화술",50min,토크-쇼,2016-07-13
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_72,"박진우 사회복지학 박사, 공감으로 치유하라",50min,토크-쇼,2016-07-14
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_73,"정찬후 대표 (춤추는 헬렌켈러) 맹인, 명인이 되다",50min,토크-쇼,2016-07-15
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_74,"시정희 (CM아카데미 대표), 기업이 필요로 하는 리더십",50min,토크-쇼,2016-07-18
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_75,"시정희 (CM아카데미 대표), 기업이 필요로 하는 리더십",50min,토크-쇼,2016-07-19
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_76,"정해신 (피부과 전문의), 면접을 위한 취준생의 여름철 피부 관리",50min,토크-쇼,2016-07-20
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_77,"정해신 (피부과 전문의), 면접을 위한 요일별 피부 관리",50min,토크-쇼,2016-07-21
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_78,"임학태 교수 (강원대학교) 세계 식량 위기, 감자에서 답을 찾다",60min,토크-쇼,2016-07-22
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_79,"임학태 교수 (강원대학교) 유전자조작 식품, 왜 위험한가",60min,토크-쇼,2016-07-25
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_80,"류시형 대표 (푸드 트럭 ‘김치버스’), 마음가는대로 떠난 무전 유럽 여행기",60min,토크-쇼,2016-07-26
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_81,"류시형 대표 (푸드 트럭 ‘김치버스’) 취업의 갈림길, 후회하지 않는 방법",60min,토크-쇼,2016-07-27
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_82,"이동진 청년모험가 (‘당신은 도전자입니까’ 저자), 나는 내 삶의 주인인가",60min,토크-쇼,2016-07-28
