연도,회차,종목,응시인원,합격인원,합격률
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,환경기능사,343,323,94
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,가스기능사,39,21,54
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,건축도장기능사,12,8,67
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,공유압기능사,10,4,40
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,공조냉동기계기능사,27,12,44
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,기계가공조립기능사,8,6,75
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,사진기능사,9,3,33
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,생산자동화기능사,59,23,39
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,설비보전기능사,18,11,61
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,승강기기능사,38,18,47
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,식품가공기능사,1,1,100
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,실내건축기능사,11,2,18
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,용접기능사,133,57,43
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,웹디자인기능사,24,8,33
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,유기농업기능사,1,0,0
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,의료전자기능사,13,5,38
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,자기비파괴검사기능사,6,6,100
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,자동차정비기능사,21,14,67
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,전기기능사,336,220,65
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,전산응용건축제도기능사,20,7,35
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,전산응용기계제도기능사,86,26,30
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,전산응용토목제도기능사,38,26,68
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,전자기기기능사,150,79,53
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,전자부품장착기능사,2,1,50
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,전자출판기능사,16,9,56
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,전자캐드기능사,3,0,0
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,정보기기운용기능사,13,6,46
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,정보처리기능사,212,14,7
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,조경기능사,5,1,20
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,조주기능사,85,52,61
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,종자기능사,5,3,60
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,초음파비파괴검사기능사,3,1,33
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,축산기능사,3,2,67
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,측량기능사,32,14,44
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,컴퓨터그래픽스운용기능사,64,30,47
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,컴퓨터응용밀링기능사,207,112,54
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,컴퓨터응용선반기능사,147,78,53
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,콘크리트기능사,1,1,100
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,특수용접기능사,51,27,53
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,화학분석기능사,134,112,84
2020,2020년 수시 기능사 산업별 맞춤형 고교등 필기면제검정,환경기능사,3,2,67
