종목명,시작 연도,완료 연도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
소방설비(전기분야),2015,2015,전체,19592,13815,6012,43.5,12632,10010,5402,54,5402
소방설비(전기분야),2015,2015,여,1221,893,366,41,847,701,373,53.2,373
소방설비(전기분야),2016,2016,전체,24007,17109,7845,45.9,14261,11560,2795,24.2,2795
소방설비(전기분야),2016,2016,여,1588,1145,527,46,929,787,180,22.9,180
소방설비(전기분야),2017,2017,전체,29607,21735,6785,31.2,14554,12091,5879,48.6,5879
소방설비(전기분야),2017,2017,여,2081,1567,479,30.6,1052,871,378,43.4,378
소방설비(전기분야),2018,2018,전체,32721,24127,7580,31.4,13636,11503,6262,54.4,6262
소방설비(전기분야),2018,2018,여,2441,1836,560,30.5,1016,866,456,52.7,456
소방설비(전기분야),2019,2019,전체,36146,26112,13706,52.5,20532,17499,8086,46.2,8086
소방설비(전기분야),2019,2019,여,2545,1861,925,49.7,1499,1288,527,40.9,527
비파괴검사분야,1975,2019,전체,111125,76882,28132,36.6,49773,41977,16496,39.3,16651
비파괴검사분야,1975,2014,전체,79000,54454,19094,35.1,34204,28570,11085,38.8,11240
비파괴검사분야,2015,2015,전체,6751,4631,1880,40.6,3027,2653,909,34.3,909
비파괴검사분야,2015,2015,여,114,89,38,42.7,52,49,20,40.8,20
비파괴검사분야,2016,2016,전체,7184,5016,2405,47.9,3807,3340,1210,36.2,1210
비파괴검사분야,2016,2016,여,177,136,81,59.6,93,85,31,36.5,31
비파괴검사분야,2017,2017,전체,6556,4654,1592,34.2,3312,2843,1292,45.4,1292
비파괴검사분야,2017,2017,여,159,130,47,36.2,83,73,38,52.1,38
비파괴검사분야,2018,2018,전체,6117,4362,1664,38.1,2890,2448,960,39.2,960
비파괴검사분야,2018,2018,여,136,106,57,53.8,80,71,33,46.5,33
비파괴검사분야,2019,2019,전체,5517,3765,1497,39.8,2533,2123,1040,49,1040
비파괴검사분야,2019,2019,여,126,103,50,48.5,88,78,34,43.6,34
방사선비파괴검사,1975,2019,전체,36478,26592,8769,33,15065,13060,4585,35.1,3081
방사선비파괴검사,1975,2014,전체,31843,23264,7735,33.2,13271,11471,4029,35.1,2525
방사선비파괴검사,2015,2015,전체,985,731,270,36.9,392,346,87,25.1,87
방사선비파괴검사,2015,2015,여,24,20,8,40,9,9,1,11.1,1
방사선비파괴검사,2016,2016,전체,1067,793,394,49.7,579,525,164,31.2,164
방사선비파괴검사,2016,2016,여,33,28,16,57.1,20,18,6,33.3,6
방사선비파괴검사,2017,2017,전체,939,662,128,19.3,421,369,178,48.2,178
방사선비파괴검사,2017,2017,여,32,25,7,28,16,15,8,53.3,8
방사선비파괴검사,2018,2018,전체,793,568,110,19.4,207,181,48,26.5,48
방사선비파괴검사,2018,2018,여,24,14,4,28.6,3,3,3,100,3
방사선비파괴검사,2019,2019,전체,851,574,132,23,195,168,79,47,79
방사선비파괴검사,2019,2019,여,24,21,10,47.6,13,12,5,41.7,5
초음파비파괴검사,1975,2019,전체,18806,12849,4282,33.3,9764,7698,1528,19.8,2048
초음파비파괴검사,1975,2014,전체,12564,8513,2878,33.8,6835,5268,1079,20.5,1599
초음파비파괴검사,2015,2015,전체,1453,999,307,30.7,598,523,113,21.6,113
초음파비파괴검사,2015,2015,여,15,13,3,23.1,7,7,0,0,0
초음파비파괴검사,2016,2016,전체,1447,1069,425,39.8,743,620,130,21,130
초음파비파괴검사,2016,2016,여,24,22,9,40.9,8,8,1,12.5,1
초음파비파괴검사,2017,2017,전체,1273,906,237,26.2,611,506,105,20.8,105
초음파비파괴검사,2017,2017,여,22,19,7,36.8,10,9,0,0,0
초음파비파괴검사,2018,2018,전체,1098,743,205,27.6,514,413,61,14.8,61
초음파비파괴검사,2018,2018,여,18,15,4,26.7,13,11,3,27.3,3
초음파비파괴검사,2019,2019,전체,971,619,230,37.2,463,368,40,10.9,40
초음파비파괴검사,2019,2019,여,18,13,4,30.8,11,9,1,11.1,1
자기비파괴검사,1975,2019,전체,19140,12825,5198,40.5,9166,7714,3187,41.3,3699
자기비파괴검사,1975,2014,전체,12951,8532,3098,36.3,5688,4723,2065,43.7,2577
자기비파괴검사,2015,2015,전체,1340,913,427,46.8,593,521,220,42.2,220
자기비파괴검사,2015,2015,여,17,13,6,46.2,8,7,4,57.1,4
자기비파괴검사,2016,2016,전체,1541,1070,531,49.6,739,649,210,32.4,210
자기비파괴검사,2016,2016,여,30,24,16,66.7,17,15,4,26.7,4
자기비파괴검사,2017,2017,전체,1227,890,373,41.9,750,655,221,33.7,221
자기비파괴검사,2017,2017,여,23,18,13,72.2,20,17,9,52.9,9
자기비파괴검사,2018,2018,전체,1114,773,438,56.7,777,656,229,34.9,229
자기비파괴검사,2018,2018,여,30,26,20,76.9,29,27,10,37,10
자기비파괴검사,2019,2019,전체,967,647,331,51.2,619,510,242,47.5,242
자기비파괴검사,2019,2019,여,18,14,6,42.9,17,15,6,40,6
침투비파괴검사,1975,2019,전체,26213,17891,7094,39.7,11643,10000,5440,54.4,5924
침투비파괴검사,1975,2014,전체,15151,10150,3749,36.9,5942,5046,2917,57.8,3401
침투비파괴검사,2015,2015,전체,2159,1439,692,48.1,1181,1027,385,37.5,385
침투비파괴검사,2015,2015,여,46,34,17,50,23,21,13,61.9,13
침투비파괴검사,2016,2016,전체,2220,1473,731,49.6,1335,1175,529,45,529
침투비파괴검사,2016,2016,여,67,46,30,65.2,38,35,17,48.6,17
침투비파괴검사,2017,2017,전체,2346,1683,664,39.5,1173,1017,643,63.2,643
침투비파괴검사,2017,2017,여,60,50,17,34,31,28,17,60.7,17
침투비파괴검사,2018,2018,전체,2322,1710,660,38.6,1039,901,452,50.2,452
침투비파괴검사,2018,2018,여,44,35,21,60,29,24,14,58.3,14
침투비파괴검사,2019,2019,전체,2015,1436,598,41.6,973,834,514,61.6,514
침투비파괴검사,2019,2019,여,56,48,27,56.3,40,37,20,54.1,20
와전류비파괴검사,1975,2019,전체,3612,2474,1262,51,1805,1556,770,49.5,866
와전류비파괴검사,1975,2014,전체,2257,1490,742,49.8,1123,937,413,44.1,509
와전류비파괴검사,2015,2015,전체,247,175,95,54.3,132,123,53,43.1,53
와전류비파괴검사,2015,2015,여,8,6,2,33.3,3,3,2,66.7,2
와전류비파괴검사,2016,2016,전체,257,174,111,63.8,139,134,72,53.7,72
와전류비파괴검사,2016,2016,여,14,9,6,66.7,5,5,2,40,2
와전류비파괴검사,2017,2017,전체,279,194,87,44.8,118,104,62,59.6,62
와전류비파괴검사,2017,2017,여,9,8,2,25,3,3,3,100,3
와전류비파괴검사,2018,2018,전체,294,215,132,61.4,164,147,89,60.5,89
와전류비파괴검사,2018,2018,여,8,6,3,50,3,3,2,66.7,2
와전류비파괴검사,2019,2019,전체,278,226,95,42,129,111,81,73,81
와전류비파괴검사,2019,2019,여,8,6,3,50,4,3,1,33.3,1
누설비파괴검사,1975,2019,전체,6876,4251,1527,35.9,2330,1949,986,50.6,1029
누설비파괴검사,1975,2014,전체,4234,2505,892,35.6,1345,1125,582,51.7,625
누설비파괴검사,2015,2015,전체,567,374,89,23.8,131,113,51,45.1,51
누설비파괴검사,2015,2015,여,4,3,2,66.7,2,2,0,0,0
누설비파괴검사,2016,2016,전체,652,437,213,48.7,272,237,105,44.3,105
누설비파괴검사,2016,2016,여,9,7,4,57.1,5,4,1,25,1
누설비파괴검사,2017,2017,전체,492,319,103,32.3,239,192,83,43.2,83
누설비파괴검사,2017,2017,여,13,10,1,10,3,1,1,100,1
누설비파괴검사,2018,2018,전체,496,353,119,33.7,189,150,81,54,81
누설비파괴검사,2018,2018,여,12,10,5,50,3,3,1,33.3,1
누설비파괴검사,2019,2019,전체,435,263,111,42.2,154,132,84,63.6,84
누설비파괴검사,2019,2019,여,2,1,0,0,3,2,1,50,1
환경분야,1975,2019,전체,715098,519629,161746,31.1,279806,241926,100744,41.6,107050
환경분야,1975,2014,전체,577394,418306,124830,29.8,225118,192524,71515,37.1,77878
환경분야,2015,2015,전체,26132,19162,6678,34.9,10450,9480,5269,55.6,5269
환경분야,2015,2015,여,9082,7139,2627,36.8,3915,3615,2174,60.1,2174
환경분야,2016,2016,전체,26557,19389,6781,35,10074,9113,5503,60.4,5503
환경분야,2016,2016,여,9564,7439,2746,36.9,3852,3537,2201,62.2,2201
환경분야,2017,2017,전체,28123,20928,7734,37,11380,10271,6384,62.2,6384
환경분야,2017,2017,여,10434,8194,3067,37.4,4453,4063,2599,64,2599
환경분야,2018,2018,전체,27184,20112,7367,36.6,10943,9812,6190,63.1,6190
환경분야,2018,2018,여,10243,7962,3000,37.7,4312,3911,2538,64.9,2538
환경분야,2019,2019,전체,29708,21732,8356,38.5,11841,10726,5883,54.8,5826
환경분야,2019,2019,여,10994,8464,3385,40,4619,4187,2378,56.8,2358
온실가스관리,1975,2019,전체,7864,5913,2836,48,4812,4038,1328,32.9,1328
온실가스관리,1975,2014,전체,2160,1724,555,32.2,499,461,305,66.2,305
온실가스관리,2015,2015,전체,2094,1516,633,41.8,951,828,42,5.1,42
온실가스관리,2015,2015,여,488,361,185,51.2,280,242,8,3.3,8
온실가스관리,2016,2016,전체,1267,928,486,52.4,1060,864,547,63.3,547
온실가스관리,2016,2016,여,377,286,157,54.9,339,278,162,58.3,162
온실가스관리,2017,2017,전체,1084,809,491,60.7,843,703,256,36.4,256
온실가스관리,2017,2017,여,349,267,164,61.4,296,244,88,36.1,88
온실가스관리,2018,2018,전체,703,528,364,68.9,792,639,99,15.5,99
온실가스관리,2018,2018,여,215,164,125,76.2,261,202,29,14.4,29
온실가스관리,2019,2019,전체,556,408,307,75.2,667,543,79,14.5,79
온실가스관리,2019,2019,여,182,138,105,76.1,229,175,22,12.6,22
환경위해관리,1975,2019,전체,728,540,296,54.8,248,215,57,26.5,0
환경위해관리,2019,2019,전체,728,540,296,54.8,248,215,57,26.5,0
환경위해관리,2019,2019,여,294,227,130,57.3,109,92,20,21.7,0
대기환경,1975,2019,전체,194960,141852,48522,34.2,81875,71111,30577,43,32413
대기환경,1975,2014,전체,150427,109283,37291,34.1,67589,57413,20519,35.7,22355
대기환경,2015,2015,전체,7295,5336,1642,30.8,2352,2271,1526,67.2,1526
대기환경,2015,2015,여,2550,1992,647,32.5,884,862,613,71.1,613
대기환경,2016,2016,전체,8234,5978,2086,34.9,2540,2442,1825,74.7,1825
대기환경,2016,2016,여,2838,2202,795,36.1,944,909,693,76.2,693
대기환경,2017,2017,전체,8810,6562,2447,37.3,2940,2806,2171,77.4,2171
대기환경,2017,2017,여,3226,2543,938,36.9,1101,1061,858,80.9,858
대기환경,2018,2018,전체,9104,6730,2405,35.7,3211,3066,2316,75.5,2316
대기환경,2018,2018,여,3398,2643,953,36.1,1201,1155,896,77.6,896
