연도,지사,응시인원(1분기),합격인원(1분기),합격률(1분기),응시인원(2분기),합격인원(2분기),합격률(2분기),응시인원(3분기),합격인원(3분기),합격률(3분기),응시인원(4분기),합격인원(4분기),합격률(4분기)
2021,강원,320,64,0.2,575,146,0.254,547,121,0.221,0,0,0
2021,충북,510,181,0.355,1008,411,0.408,663,188,0.284,0,0,0
2021,대전,567,188,0.332,921,268,0.291,727,227,0.312,0,0,0
2021,전북,723,280,0.387,1387,559,0.403,956,321,0.336,0,0,0
2021,전남,443,228,0.515,743,380,0.511,588,209,0.355,0,0,0
2021,경북,296,150,0.507,469,198,0.422,346,115,0.332,0,0,0
2021,경남,384,157,0.409,686,289,0.421,493,177,0.359,0,0,0
2021,제주,156,53,0.34,239,62,0.259,218,71,0.326,0,0,0
2021,강원동부,254,65,0.256,541,136,0.251,426,94,0.221,0,0,0
2021,전남서부,184,78,0.424,347,151,0.435,234,76,0.325,0,0,0
2021,경북동부,302,133,0.44,539,233,0.432,399,123,0.308,0,0,0
2021,경기북부,1707,501,0.293,3276,878,0.268,2197,445,0.203,0,0,0
2021,경기동부,0,0,0,772,225,0.291,521,144,0.276,0,0,0
2021,경북서부,291,130,0.447,542,248,0.458,368,127,0.345,0,0,0
2021,경기남부,208,108,0.519,216,101,0.468,126,43,0.341,0,0,0
