대분류,중분류,소분류,세부항목,메뉴 설명
HRD콘텐츠,마이페이지,영상교육 수강이력,-,사용자가 현재까지 수강한 강좌에 대한 목록
HRD콘텐츠,마이페이지,훈련교재 수강이력,-,사용자가 현재까지 다운로드 받은 자료에 대한 목록
HRD콘텐츠,마이페이지,수강 확인 / 취소,-,HRD 콘텐츠 수강 신청한 강의에 대한 확인 및 취소
HRD콘텐츠,정보마당,공지사항,-,HRD 콘텐츠 네트워크 공지사항 목록
HRD콘텐츠,정보마당,소프트웨어 다운로드,-,HRD 콘텐츠 네트워크 동영상 강의를 위한 소프트웨어 다운로드 안내
HRD콘텐츠,정보마당,자주묻는질문,-,HRD 콘텐츠 네트워크 자주묻는 질문에 대한 목록 정리
HRD콘텐츠,정보마당,오시는길,-,한국산업인력공단 오시는 길에 대한 안내
HRD콘텐츠,HRD콘텐츠 소개,HRD 콘텐츠 소개,-,HRD 콘텐츠네트워크 의의 및 소개 
HRD콘텐츠,HRD콘텐츠 소개,HRD 동영상 강의 소개,-,HRD 동영상 강의 의의 및 소개
HRD콘텐츠,HRD콘텐츠 소개,HRD 훈련교재 소개,-,HRD 훈련교재 의의 및 소개
HRD콘텐츠,HRD콘텐츠 소개,이러닝 수강안내,-,이러닝 수강에 대한 안내
HRD콘텐츠,HRD콘텐츠 소개,사이트 이용 안내,-,"동영상 강의 및 훈련교재 이용방법, 회원가입 탈퇴 신청에 대한 안내"
학습조직화 사업,학습조직화 사업이란,사업개요,-,학습조직화 사업의 개요 안내
학습조직화 사업,학습조직화 사업이란,지원대상 및 자격,-,학습조직화 사업 참여기업의 지원 대상 안내 및 자격 안내
학습조직화 사업,학습조직화 사업이란,지원 내용,-,학습조직화 사업 참여기업 지원 내용에 대한 안내
학습조직화 사업,사업관리,사업 공고,-,학습조직화 사업 사업에 대한 공고
학습조직화 사업,사업관리,학습기업 유형설정,-,학습조직화 사업 기업 및 기업 유형 설정에 대한 화면
학습조직화 사업,사업관리,신청서 작성,-,학습조직화 사업 참여 기업에 대한 신청서 작성
학습조직화 사업,사업관리,신청내역 조회,-,학습조직화 사업 신청 내역에 대한 조회
학습조직화 사업,사업관리,사업실시 세부계획서,-,학습조직화 사업 참여기업의 사업 진행에 관한 세부 계획서
학습조직화 사업,사업관리,완료보고서,-,학습조직화 사업 참여기업의 사업 참여 완료 후 관리되는 완료보고서
학습조직화 사업,사업관리,정산보고서,-,학습조직화 사업 참여기업의 정산 내역 관리 되는 보고서
학습조직화 사업,학습일지,학습조 관리,-,학습조직화 사업 참여기업의 내부 학습 조 구성 및 조장 구성에 대한 설정 화면
학습조직화 사업,학습일지,학습조 구성현황,-,학습조직화 사업 참여 기업의 내부 학습조 조원 구성 및 조 명 변경에 대한 설정화면
학습조직화 사업,학습일지,학습일지,-,학습조직화 사업 참여 기업의 학습일지 등록 및 관리 화면
학습조직화 사업,학습일지,예산집행현황,-,학습조직화 사업 참여기업의 지원금 사용 일지에 대한 입력 화면
학습조직화 사업,학습일지,자료 공유 게시판,-,학습조직화 사업 참여기업의 사용자 간 자료 공유를 위한 게시판
학습조직화 사업,기업 정보관리,기업정보관리,-,학습조직화 사업 참여기업의 기업 정보 관리 화면
학습조직화 사업,기업 정보관리,부서 임직원관리,-,"학습조직화 사업 참여기업의 부서, 임직원에 대한 정보 관리 화면"
학습조직화 사업,기업 정보관리,개인종합정보 조회,-,학습조직화 사업 참여기업의 개인 종합정보 (아이디/패스워드 등) 관리하는 화면
학습조직화 사업,기업 정보관리,조직/등록변경,-,학습조직화 사업 참여기업의 회사 조직에 대한 관리화면
학습조직화 사업,기업 정보관리,구성원 등록/변경,-,학습조직화 사업 참여기업의 학습조직화 사업 참여자에 대한 정보 입력하는 화면
학습조직화 사업,정보마당,공지사항,-,학습조직화 사업 공지사항 게시판
학습조직화 사업,정보마당,FAQ,-,학습조직화 사업 자주받는 질문에 대한 문의 안내 게시판
학습조직화 사업,정보마당,자료실,-,학습조직화 사업 자료실 게시판
학습조직화 사업,정보마당,지부/지사안내,-,학습조직화 사업 참여기업의 담당 지부지사 확인을 위한 목록
전문가 인력풀,전문가 인력풀 소개,사업개요,-,전문가 인력풀 선정 사업에 대한 사업 개요 안내
전문가 인력풀,전문가 인력풀 소개,신청자격,-,전문가 인력풀 신청자 신청 자격에 대한 안내
전문가 인력풀,전문가 인력풀 소개,이용안내,-,전문가 인력풀 이용 안내
전문가 인력풀,인력풀 신청,신청공고,-,전문가 인력풀 신청 모집에 대한 공고
전문가 인력풀,인력풀 신청,신청서 작성,-,전문가 인력풀 신청서 작성에 대한 화면
전문가 인력풀,인력풀 신청,신청 결과 조회,-,전문가 인력풀 신청 작성후 결과 조회 
전문가 인력풀,프로필 관리,나의 프로필,-,전문가 인력풀 신청서 내역 확인 화면
전문가 인력풀,프로필 관리,프로필 수정,-,전문가 인력풀 신청서 수정 화면
전문가 인력풀,프로필 관리,위촉 이력 조회,-,전문가 인력풀 회의 위촉 및 회의 참여에 대한 이력조회 화면
전문가 인력풀,정보마당,공지사항,-,전문가 인력풀 공지사항  게시판
전문가 인력풀,정보마당,FAQ,-,전문가 인력풀 자주받는 질문에 대한 안내 게시판
전문가 인력풀,정보마당,자료실,-,전문가 인력풀 신청에 대한 자료실 게시판
전문가 인력풀,정보마당,지부지사 안내,-,전문가 인력풀 신청자 지부지사 확인에 대한 안내
직업 능력의 달,직업 능력의 달,직업능력의 달 의미,-,직업 능력의 달 홈페이지의 사이트에 대한 의미 안내
직업 능력의 달,직업 능력의 달,행사 개요,-,직업 능력의 달 행사 개요 안내
직업 능력의 달,직업 능력의 달,지난 행사,-,직업 능력의 달 지난 행사에 대한 정보 안내
직업 능력의 달,직업능력의 달 기념식,행사안내,-,직업 능력의 달 행사 안내 
직업 능력의 달,직업능력의 달 기념식,표창 및 포상 수상자,-,직업 능력의 달 역대 표창 및 포상 수상자에 대한 안내
직업 능력의 달,직업능력의 달 기념식,행사장 안내,-,직업 능력의 달 기념식 행사장에 대한 안내
직업 능력의 달,HRD우수기관 인증수여식,행사안내,-,직업 능력의 달의 행사 안내
직업 능력의 달,HRD우수기관 인증수여식,행사장 안내,-,직업 능력의 달 행사장 안내
직업 능력의 달,기타행사,기타행사,-,직업 능력의 달 부대행사(인적자원개발 컨퍼런스) 에 대한 안내 
직업 능력의 달,알림마당,공지사항,-,직업 능력의 달 사이트 공지사항 게시판
직업 능력의 달,알림마당,FAQ,-,직업 능력의 달 자주받는 질문에 대한 안내 게시판
인적자원 개발 컨퍼런스,행사안내,인사말,-,인적자원 개발 컨퍼런스 인사말
인적자원 개발 컨퍼런스,행사안내,행사개요,-,인적자원 개발 컨퍼런스 행사 안내 
인적자원 개발 컨퍼런스,행사안내,운영사무국,-,인적자원 개발 컨퍼런스 운영 사무국에 대한 정보 안내
인적자원 개발 컨퍼런스,프로그램,전체일정,-,인적자원 개발 컨퍼런스 전체 일정에 대한 안내
인적자원 개발 컨퍼런스,프로그램,세션안내,-,인적자원 개발 컨퍼런스 각 강연별 강사에 대한 안내
인적자원 개발 컨퍼런스,강연소개,기조강연,-,인적자원 개발 컨퍼런스 기조강연에 대한 강사 정보 및 이력 안내
인적자원 개발 컨퍼런스,강연소개,이슈별 동시강연,-,인적자원 개발 컨퍼런스 강연에 대한 정보 안내 및 강사 정보 안내
인적자원 개발 컨퍼런스,참관등록,참관안내,-,인적자원 개발 컨퍼런스 참관 등록에 대한 안내
인적자원 개발 컨퍼런스,참관등록,등록확인(온라인),-,인적자원 개발 컨퍼런스 온라인 등록에 대한 등록 확인
인적자원 개발 컨퍼런스,참관등록,등록확인(현장),-,인적자원 개발 컨퍼런스 현장 등록에 대한 등록 확인
인적자원 개발 컨퍼런스,지난 컨퍼런스,지난 컨퍼런스 보기,-,지난 컨퍼런스 사진 및 강사정보 등 조회 화면
인적자원 개발 컨퍼런스,알림마당,공지사항,-,인적자원 개발 컨퍼런스 공지사항 게시판
인적자원 개발 컨퍼런스,알림마당,FAQ,-,인적자원 개발 컨퍼런스 자주받는 질문에 대한 안내게시판
인적자원 개발 컨퍼런스,알림마당,자료실,-,인적자원 개발 컨퍼런스 자료실 게시판
인적자원개발 우수기관 인증,사업소개,사업개요,-,우수기관 인증 사업에 대한 설명
인적자원개발 우수기관 인증,사업소개,심사기준,-,우수기관 인증 사업 심사기준에 대한 설명
인적자원개발 우수기관 인증,사업소개,인증수여 및 혜택,-,우수기관 인증 수여 및 혜택에 대한 설명
인적자원개발 우수기관 인증,사업소개,인증기관 현황,-,우수기관 인증 기관 현황에 대한 설명
인적자원개발 우수기관 인증,온라인 신청,신청공고,-,우수기관 인증 신청 공고에 대한 목록
인적자원개발 우수기관 인증,온라인 신청,신청서 작성,-,우수기관 인증 신청서 작성에 대한 페이지
인적자원개발 우수기관 인증,온라인 신청,신청내역 조회,-,우수기관 인증 신청 내역 조회에 대한 페이지
인적자원개발 우수기관 인증,인증 수여식,행사안내,-,우수기관 인증 행사 안내 페이지
인적자원개발 우수기관 인증,인증 수여식,행사장 안내,-,우수기관 인증 행사장 안내 페이지
인적자원개발 우수기관 인증,인증 수여식,지난행사,-,우수기관 인증 지난 행사 페이지
인적자원개발 우수기관 인증,정보마당,공지사항,-,우수기관 인증 공지사항에 대한 목록
인적자원개발 우수기관 인증,정보마당,FAQ,-,우수기관 인증  FAQ에 대한 목록
인적자원개발 우수기관 인증,정보마당,자료실,-,우수기관 인증  자료실에 대한 목록 
인적자원개발 우수기관 인증,정보마당,지부지사 안내,-,한국 산업인력공단 지부지사에 대한 안내
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
HRD4U 메인,HRD 콘텐츠네트워크란,HRD 콘텐츠 소개,,
HRD 콘텐츠 네트워크,HRD 콘텐츠네트워크란,HRD 동영상 강의 소개,,
HRD 콘텐츠 네트워크,HRD 콘텐츠네트워크란,HRD 훈련교재 소개,,
HRD 콘텐츠 네트워크,HRD 콘텐츠,NCS 기반 동영상 강의,,
HRD 콘텐츠 네트워크,HRD 콘텐츠,일반동영상 강의,,
HRD 콘텐츠 네트워크,HRD 콘텐츠,공통법정의무교육,,
HRD 콘텐츠 네트워크,HRD 콘텐츠,훈련교재 PDF,,
HRD 콘텐츠 네트워크,HRD 콘텐츠,훈련교재 E-BOOK,,
HRD 콘텐츠 네트워크,HRD 콘텐츠,플래시기반 동영상,,
HRD 콘텐츠 네트워크,HRD 콘텐츠,훈련교재 PPT 자료,,
HRD 콘텐츠 네트워크,마이페이지,나의 강의실,,
HRD 콘텐츠 네트워크,마이페이지,나의 교육이력,,
HRD 콘텐츠 네트워크,마이페이지,나의 서재,,
HRD 콘텐츠 네트워크,마이페이지,수강확인 / 취소,,
HRD 콘텐츠 네트워크,마이페이지,쪽지함,,
HRD 콘텐츠 네트워크,학습도우미,이러닝 수강안내,,
HRD 콘텐츠 네트워크,학습도우미,소프트웨어 다운로드,,
HRD 콘텐츠 네트워크,학습도우미,자주묻는 질문,,
HRD 콘텐츠 네트워크,정보마당,시스템 소개,,
HRD 콘텐츠 네트워크,정보마당,공지사항,,
HRD 콘텐츠 네트워크,정보마당,이벤트,,
HRD 콘텐츠 네트워크,정보마당,이용안내,,
HRD 콘텐츠 네트워크,정보마당,오시는길,,
HRD 콘텐츠 네트워크,회원정보 관리,나의 프로필,,
HRD 콘텐츠 네트워크,회원정보 관리,회원정보변경,,
HRD 콘텐츠 네트워크,회원정보 관리,비밀번호 변경,,
HRD 콘텐츠 네트워크,회원정보 관리,회원 탈퇴,,
HRD 콘텐츠 네트워크,회원정보 관리,개인정보 처리방침,,
HRD 콘텐츠 네트워크,회원정보 관리,저작권 보호 정책,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
청년취업 아카데미,사업소개,청년취업 아카데미란,,청년 취업 아카데미 사이트 개요 및 안내 화면
청년취업 아카데미,사업소개,운영기관이란,,청년 취업 아카데미 사이트 운영 기관에 대한 안내화면
청년취업 아카데미,사업소개,참여대상 및 자격,,청년 취업 아카데미 참여 대상 및 자격에 대한 안내화면
청년취업 아카데미,연수과정,개설과정 안내 및 참여신청,,청년 취업 아카데미 개설 과정 안내 및 참여에 대한 안내 
청년취업 아카데미,연수과정,연수과정 참여후기,,청년 취업 아카데미 연수과정 참여 후게 등록 게시판
청년취업 아카데미,인재채용정보,열린 채용정보,,청년 취업 아카데미 채용정보 관련 안내 게시판
청년취업 아카데미,인재채용정보,채용정보 (기관별),,청년 취업 아카데미 채용정보 기관별 안내 게시판
청년취업 아카데미,커뮤니티,공지사항,,청년취업 아카데미 공지사항 게시판
청년취업 아카데미,커뮤니티,FAQ,,청년 취업 아카데미 자주받는 질문에 대한 문의 안내 게시판
